date;client_id;ab_group;is_view_ads;cnt_view_ads;is_adds_ads;cnt_adds_ads;sum_adds_ads;is_orders_ads;cnt_orders_ads;sum_orders_ads;
2024-07-26;32235;control;1;1;1;1;169;0;0;0;
2024-07-30;1223529;control;1;4;0;0;0;0;0;0;
2024-07-26;2191202;control;1;1;0;0;0;0;0;0;
2024-07-29;530395;control;1;1;0;0;0;0;0;0;
2024-07-29;432190;control;1;1;0;0;0;0;0;0;
2024-07-27;682652294;control;1;1;0;0;0;0;0;0;
2024-07-29;684306352;control;1;1;0;0;0;0;0;0;
2024-07-27;109663;control;1;4;0;0;0;0;0;0;
2024-07-26;10026;control;1;1;0;0;0;0;0;0;
2024-07-24;43849;control;1;1;0;0;0;0;0;0;
2024-07-29;2322;control;1;1;0;0;0;0;0;0;
2024-07-25;8020518;control;1;1;0;0;0;0;0;0;
2024-07-29;6568502;control;1;3;0;0;0;0;0;0;
2024-07-27;545196028;control;1;1;1;1;189;1;0;0;
2024-07-27;6633988;control;1;1;0;0;0;0;0;0;
2024-07-26;296921;control;1;1;0;0;0;0;0;0;
2024-07-28;11452613;control;1;1;0;0;0;0;0;0;
2024-07-25;191359;control;1;3;0;0;0;0;0;0;
2024-07-28;680096201;control;1;5;1;2;478;1;1;478;
2024-07-28;106914;control;1;2;0;0;0;0;0;0;
2024-07-30;26516;control;1;2;0;0;0;0;0;0;
2024-07-27;662956;control;1;1;0;0;0;0;0;0;
2024-07-28;9868;control;1;2;0;0;0;0;0;0;
2024-07-25;49023;control;1;1;0;0;0;0;0;0;
2024-07-27;9682202;control;1;2;0;0;0;0;0;0;
2024-07-28;543481286;control;1;1;1;1;99;1;0;0;
2024-07-30;8304916;control;1;1;0;0;0;0;0;0;
2024-07-28;243900;control;1;1;0;0;0;0;0;0;
2024-07-25;8654428;control;1;1;0;0;0;0;0;0;
2024-07-28;62612;control;1;6;0;0;0;0;0;0;
2024-07-24;61381322;control;1;1;0;0;0;0;0;0;
2024-07-25;1108434;control;1;1;0;0;0;0;0;0;
2024-07-29;4005194;control;1;1;0;0;0;0;0;0;
2024-07-30;95450980;control;1;2;1;4;476;1;2;476;
2024-07-27;52319518;control;1;3;1;3;416;1;1;375;
2024-07-30;68090034;control;1;1;0;0;0;0;0;0;
2024-07-26;85355193;control;1;1;1;1;196;1;0;0;
2024-07-25;540133288;control;1;2;0;0;0;0;0;0;
2024-07-26;936341858;control;1;2;1;1;179;1;1;179;
2024-07-26;5452660;control;1;1;0;0;0;0;0;0;
2024-07-30;65654208;control;1;1;0;0;0;0;0;0;
2024-07-26;16343;control;1;2;0;0;0;0;0;0;
2024-07-29;313031;control;1;1;0;0;0;0;0;0;
2024-07-26;852884505;control;1;2;1;3;448;1;1;359;
2024-07-27;11140469;control;1;2;0;0;0;0;0;0;
2024-07-26;2324135;control;1;3;0;0;0;0;0;0;
2024-07-26;6863581;control;1;2;0;0;0;0;0;0;
2024-07-28;41290;control;1;1;0;0;0;0;0;0;
2024-07-30;80291824;control;1;1;0;0;0;0;0;0;
2024-07-29;64181342;control;1;2;1;6;754;1;3;604;
2024-07-28;14391001;control;1;1;0;0;0;0;0;0;
2024-07-25;11618659;control;1;2;0;0;0;0;0;0;
2024-07-26;659421;control;1;1;0;0;0;0;0;0;
2024-07-26;1030619;control;1;2;0;0;0;0;0;0;
2024-07-29;5811983;control;1;1;0;0;0;0;0;0;
2024-07-27;32513306;control;1;4;1;3;567;1;1;511;
2024-07-25;1128483;control;1;4;0;0;0;0;0;0;
2024-07-26;545141610;control;1;2;0;0;0;0;0;0;
2024-07-24;6962505;control;1;2;0;0;0;0;0;0;
2024-07-28;6221010;control;1;1;0;0;0;0;0;0;
2024-07-26;3322029;control;1;4;0;0;0;0;0;0;
2024-07-28;38326;control;1;1;0;0;0;0;0;0;
2024-07-30;150504;control;1;7;0;0;0;0;0;0;
2024-07-24;10850500;control;1;1;0;0;0;0;0;0;
2024-07-25;80599;control;1;2;0;0;0;0;0;0;
2024-07-24;542914138;control;1;1;1;2;258;1;1;258;
2024-07-25;58836;control;1;3;0;0;0;0;0;0;
2024-07-29;614826;control;1;3;0;0;0;0;0;0;
2024-07-27;5300341;control;1;3;1;1;119;1;1;119;
2024-07-25;539249;control;1;2;0;0;0;0;0;0;
2024-07-28;58193605;control;1;2;1;1;139;1;1;139;
2024-07-25;669051268;control;1;1;0;0;0;0;0;0;
2024-07-29;851641;control;1;1;0;0;0;0;0;0;
2024-07-25;94388;control;1;2;1;3;377;0;0;0;
2024-07-30;122632;control;1;2;0;0;0;0;0;0;
2024-07-30;1019623;control;1;1;0;0;0;0;0;0;
2024-07-29;4293495;control;1;1;0;0;0;0;0;0;
2024-07-26;63948;control;1;1;0;0;0;0;0;0;
2024-07-25;112065;control;1;1;0;0;0;0;0;0;
2024-07-30;21863522;control;1;1;0;0;0;0;0;0;
2024-07-25;80406;control;1;4;1;1;159;0;0;0;
2024-07-30;3126206;control;1;1;0;0;0;0;0;0;
2024-07-24;240655;control;1;1;0;0;0;0;0;0;
2024-07-27;4056006;control;1;3;0;0;0;0;0;0;
2024-07-30;11084;control;1;1;0;0;0;0;0;0;
2024-07-27;15244;control;1;3;0;0;0;0;0;0;
2024-07-27;86958;control;1;1;0;0;0;0;0;0;
2024-07-26;53614;control;1;2;1;1;129;0;0;0;
2024-07-24;93865119;control;1;1;0;0;0;0;0;0;
2024-07-30;1010029;control;1;4;0;0;0;0;0;0;
2024-07-26;80929;control;1;1;0;0;0;0;0;0;
2024-07-25;6821461;control;1;1;0;0;0;0;0;0;
2024-07-30;28554;control;1;2;0;0;0;0;0;0;
2024-07-27;13933538;control;1;1;0;0;0;0;0;0;
2024-07-29;48241;control;1;2;0;0;0;0;0;0;
2024-07-30;68246820;control;1;3;1;3;417;1;1;417;
2024-07-30;54883542;control;1;1;0;0;0;0;0;0;
2024-07-29;6899133;control;1;2;0;0;0;0;0;0;
2024-07-28;644954;control;1;2;0;0;0;0;0;0;
2024-07-27;6895993;control;1;6;0;0;0;0;0;0;
2024-07-24;1204660;control;1;2;0;0;0;0;0;0;
2024-07-26;35010154;control;1;2;0;0;0;0;0;0;
2024-07-25;15958005;control;1;2;0;0;0;0;0;0;
2024-07-28;6860869;control;1;1;0;0;0;0;0;0;
2024-07-25;3123;control;1;1;0;0;0;0;0;0;
2024-07-29;69203232;control;1;1;0;0;0;0;0;0;
2024-07-30;6689141;control;1;1;0;0;0;0;0;0;
2024-07-29;545356050;control;1;1;1;1;149;1;0;0;
2024-07-27;684692615;control;1;5;1;5;701;1;2;561;
2024-07-28;882899393;control;1;2;1;5;855;1;2;855;
2024-07-29;681981299;control;1;1;1;1;139;1;0;0;
2024-07-25;69600084;control;1;1;0;0;0;0;0;0;
2024-07-29;10599805;control;1;1;0;0;0;0;0;0;
2024-07-29;81038869;control;1;1;0;0;0;0;0;0;
2024-07-30;412434;control;1;2;0;0;0;0;0;0;
2024-07-24;618449;control;1;4;0;0;0;0;0;0;
2024-07-28;68360163;control;1;2;0;0;0;0;0;0;
2024-07-27;92822;control;1;1;0;0;0;0;0;0;
2024-07-26;2204310;control;1;1;0;0;0;0;0;0;
2024-07-28;1198328;control;1;7;0;0;0;0;0;0;
2024-07-27;1189045;control;1;1;0;0;0;0;0;0;
2024-07-27;599898;control;1;1;0;0;0;0;0;0;
2024-07-25;63108353;control;1;5;0;0;0;0;0;0;
2024-07-27;6410823;control;1;1;0;0;0;0;0;0;
2024-07-27;163518;control;1;1;1;1;99;0;0;0;
2024-07-27;923465;control;1;4;1;1;129;0;0;0;
2024-07-25;68868890;control;1;2;0;0;0;0;0;0;
2024-07-28;802182;control;1;1;1;2;218;1;1;175;
2024-07-25;25020550;control;1;1;0;0;0;0;0;0;
2024-07-24;6061463;control;1;1;0;0;0;0;0;0;
2024-07-29;933186150;control;1;1;0;0;0;0;0;0;
2024-07-28;669314;control;1;1;0;0;0;0;0;0;
2024-07-30;81549462;control;1;2;1;3;477;1;1;382;
2024-07-24;6122421;control;1;1;1;1;129;1;0;0;
2024-07-30;81554865;control;1;1;0;0;0;0;0;0;
2024-07-24;5228526;control;1;1;0;0;0;0;0;0;
2024-07-28;331103;control;1;1;0;0;0;0;0;0;
2024-07-26;69156385;control;1;4;1;3;907;1;1;726;
2024-07-28;668343043;control;1;1;0;0;0;0;0;0;
2024-07-28;54564830;control;1;3;1;1;519;1;1;519;
2024-07-28;1069;control;1;2;0;0;0;0;0;0;
2024-07-24;9181608;control;1;1;0;0;0;0;0;0;
2024-07-29;22413645;control;1;3;1;3;347;1;1;313;
2024-07-29;66290828;control;1;1;0;0;0;0;0;0;
2024-07-28;541249866;control;1;2;1;1;174;1;1;174;
2024-07-29;4263431;control;1;1;0;0;0;0;0;0;
2024-07-26;14162;control;1;1;0;0;0;0;0;0;
2024-07-29;8348353;control;1;2;0;0;0;0;0;0;
2024-07-26;88611426;control;1;1;1;2;278;1;1;223;
2024-07-24;195892;control;1;1;0;0;0;0;0;0;
2024-07-30;64935;control;1;5;0;0;0;0;0;0;
2024-07-29;351594;control;1;1;0;0;0;0;0;0;
2024-07-28;1201451;control;1;1;0;0;0;0;0;0;
2024-07-30;53881469;control;1;2;0;0;0;0;0;0;
2024-07-24;2434092;control;1;2;0;0;0;0;0;0;
2024-07-30;113633;control;1;1;0;0;0;0;0;0;
2024-07-30;164124;control;1;2;1;2;318;0;0;0;
2024-07-30;546005406;control;1;1;0;0;0;0;0;0;
2024-07-29;1848428;control;1;1;0;0;0;0;0;0;
2024-07-24;90031105;control;1;2;0;0;0;0;0;0;
2024-07-25;681432389;control;1;2;0;0;0;0;0;0;
2024-07-28;3241;control;1;1;0;0;0;0;0;0;
2024-07-24;638639;control;1;1;0;0;0;0;0;0;
2024-07-25;9834;control;1;1;0;0;0;0;0;0;
2024-07-24;69881382;control;1;1;0;0;0;0;0;0;
2024-07-28;6800249;control;1;2;0;0;0;0;0;0;
2024-07-27;654812;control;1;2;0;0;0;0;0;0;
2024-07-28;66622551;control;1;2;0;0;0;0;0;0;
2024-07-26;1641913;control;1;1;0;0;0;0;0;0;
2024-07-27;35536294;control;1;1;0;0;0;0;0;0;
2024-07-28;94669443;control;1;1;1;2;288;1;1;260;
2024-07-25;545301646;control;1;1;1;1;59;1;0;0;
2024-07-26;16109158;control;1;2;0;0;0;0;0;0;
2024-07-26;1088190;control;1;1;0;0;0;0;0;0;
2024-07-30;1092846;control;1;1;0;0;0;0;0;0;
2024-07-25;68910814;control;1;1;0;0;0;0;0;0;
2024-07-27;68531153;control;1;2;1;2;384;1;1;384;
2024-07-28;499545465;control;1;2;1;1;177;1;1;177;
2024-07-24;690185254;control;1;1;0;0;0;0;0;0;
2024-07-29;6889262;control;1;2;1;3;257;1;1;232;
2024-07-29;8113021;control;1;1;1;1;169;1;0;0;
2024-07-29;59821216;control;1;1;0;0;0;0;0;0;
2024-07-26;69250483;control;1;2;1;3;387;1;1;310;
2024-07-28;99195;control;1;1;0;0;0;0;0;0;
2024-07-26;90306895;control;1;1;0;0;0;0;0;0;
2024-07-25;965384462;control;1;1;1;3;537;1;1;537;
2024-07-29;6384424;control;1;1;0;0;0;0;0;0;
2024-07-28;25105895;control;1;1;0;0;0;0;0;0;
2024-07-27;12088099;control;1;1;0;0;0;0;0;0;
2024-07-28;1503435;control;1;3;1;1;98;1;1;98;
2024-07-25;60912438;control;1;1;0;0;0;0;0;0;
2024-07-25;68123682;control;1;1;0;0;0;0;0;0;
2024-07-25;52960;control;1;1;0;0;0;0;0;0;
2024-07-27;5336090;control;1;1;0;0;0;0;0;0;
2024-07-25;1246;control;1;1;0;0;0;0;0;0;
2024-07-29;66598020;control;1;7;1;6;988;1;3;988;
2024-07-28;55685000;control;1;1;1;1;129;1;0;0;
2024-07-28;66431409;control;1;1;0;0;0;0;0;0;
2024-07-26;5468145;control;1;2;1;3;457;1;1;366;
2024-07-28;6915553;control;1;1;0;0;0;0;0;0;
2024-07-28;850350146;control;1;1;1;1;129;1;0;0;
2024-07-29;913104636;control;1;1;1;3;647;1;1;518;
2024-07-28;6525343;control;1;2;0;0;0;0;0;0;
2024-07-29;698956;control;1;1;0;0;0;0;0;0;
2024-07-25;2801259;control;1;1;0;0;0;0;0;0;
2024-07-28;3048650;control;1;2;0;0;0;0;0;0;
2024-07-25;683354536;control;1;1;1;2;278;1;1;251;
2024-07-30;95336850;control;1;2;1;2;174;1;1;157;
2024-07-25;548290208;control;1;2;0;0;0;0;0;0;
2024-07-30;15962586;control;1;6;0;0;0;0;0;0;
2024-07-24;540652605;control;1;1;1;1;122;1;0;0;
2024-07-27;61598;control;1;1;0;0;0;0;0;0;
2024-07-27;443908;control;1;1;1;1;159;0;0;0;
2024-07-26;884893443;control;1;1;0;0;0;0;0;0;
2024-07-24;63253936;control;1;1;1;1;169;1;0;0;
2024-07-27;3496;control;1;2;0;0;0;0;0;0;
2024-07-29;16229482;control;1;1;0;0;0;0;0;0;
2024-07-30;133933693;control;1;4;1;4;416;1;2;416;
2024-07-29;4412048;control;1;1;0;0;0;0;0;0;
2024-07-26;85908938;control;1;2;0;0;0;0;0;0;
2024-07-24;684382356;control;1;1;1;1;539;1;0;0;
2024-07-24;520534056;control;1;1;0;0;0;0;0;0;
2024-07-28;2555208;control;1;2;0;0;0;0;0;0;
2024-07-30;900001;control;1;3;0;0;0;0;0;0;
2024-07-30;1504818;control;1;1;0;0;0;0;0;0;
2024-07-27;23283;control;1;1;0;0;0;0;0;0;
2024-07-24;62590;control;1;1;0;0;0;0;0;0;
2024-07-28;445342;control;1;3;1;1;89;0;0;0;
2024-07-27;8589416;control;1;1;0;0;0;0;0;0;
2024-07-30;324520;control;1;2;0;0;0;0;0;0;
2024-07-25;543398625;control;1;1;1;2;220;1;1;176;
2024-07-28;11204941;control;1;2;0;0;0;0;0;0;
2024-07-26;853039346;control;1;1;0;0;0;0;0;0;
2024-07-24;64181;control;1;2;0;0;0;0;0;0;
2024-07-24;6699455;control;1;2;1;2;248;1;1;199;
2024-07-26;128330;control;1;1;1;3;377;0;0;0;
2024-07-26;14524966;control;1;1;0;0;0;0;0;0;
2024-07-25;881919;control;1;1;0;0;0;0;0;0;
2024-07-27;3181482;control;1;1;0;0;0;0;0;0;
2024-07-28;99681;control;1;5;0;0;0;0;0;0;
2024-07-25;680511434;control;1;1;0;0;0;0;0;0;
2024-07-30;36021;control;1;1;0;0;0;0;0;0;
2024-07-27;545996962;control;1;2;0;0;0;0;0;0;
2024-07-29;521331;control;1;1;0;0;0;0;0;0;
2024-07-26;69436993;control;1;1;0;0;0;0;0;0;
2024-07-30;1346514;control;1;1;1;5;421;1;2;421;
2024-07-25;4983339;control;1;1;0;0;0;0;0;0;
2024-07-25;95129;control;1;1;1;1;169;0;0;0;
2024-07-27;801320;control;1;1;0;0;0;0;0;0;
2024-07-27;6491940;control;1;1;0;0;0;0;0;0;
2024-07-26;90142902;control;1;4;1;2;358;1;1;358;
2024-07-24;426229535;control;1;1;1;1;187;1;0;0;
2024-07-27;68348904;control;1;1;1;2;258;1;1;207;
2024-07-30;28160;control;1;1;0;0;0;0;0;0;
2024-07-25;118400;control;1;1;0;0;0;0;0;0;
2024-07-28;4442655;control;1;1;0;0;0;0;0;0;
2024-07-28;12034251;control;1;1;0;0;0;0;0;0;
2024-07-25;6642328;control;1;2;1;2;208;1;1;188;
2024-07-24;6698815;control;1;2;0;0;0;0;0;0;
2024-07-25;953259699;control;1;3;1;2;243;1;1;243;
2024-07-27;16800590;control;1;2;0;0;0;0;0;0;
2024-07-30;55632546;control;1;1;1;3;324;1;1;260;
2024-07-24;541169489;control;1;2;1;2;263;1;1;263;
2024-07-25;60142500;control;1;2;0;0;0;0;0;0;
2024-07-27;96615312;control;1;1;0;0;0;0;0;0;
2024-07-27;68428;control;1;1;0;0;0;0;0;0;
2024-07-25;855596;control;1;2;0;0;0;0;0;0;
2024-07-28;130406;control;1;1;0;0;0;0;0;0;
2024-07-29;6424382;control;1;3;0;0;0;0;0;0;
2024-07-29;1046563;control;1;1;0;0;0;0;0;0;
2024-07-29;38822;control;1;1;0;0;0;0;0;0;
2024-07-28;545995934;control;1;2;1;1;92;1;1;92;
2024-07-27;96596881;control;1;1;0;0;0;0;0;0;
2024-07-29;111385;control;1;7;0;0;0;0;0;0;
2024-07-27;205200;control;1;1;0;0;0;0;0;0;
2024-07-28;55002342;control;1;2;1;2;548;1;1;548;
2024-07-27;26212361;control;1;1;0;0;0;0;0;0;
2024-07-29;9339612;control;1;1;0;0;0;0;0;0;
2024-07-28;85291995;control;1;1;0;0;0;0;0;0;
2024-07-30;546211529;control;1;1;1;2;322;1;1;290;
2024-07-24;8482002;control;1;1;1;2;218;1;1;175;
2024-07-25;69122115;control;1;3;1;2;248;1;1;199;
2024-07-30;8151945;control;1;2;0;0;0;0;0;0;
2024-07-29;128645;control;1;1;0;0;0;0;0;0;
2024-07-25;845639654;control;1;10;1;13;2189;1;1;1971;
2024-07-28;826650540;control;1;1;0;0;0;0;0;0;
2024-07-24;664894;control;1;1;0;0;0;0;0;0;
2024-07-25;645843;control;1;1;0;0;0;0;0;0;
2024-07-28;834133881;control;1;1;0;0;0;0;0;0;
2024-07-24;66986564;control;1;1;0;0;0;0;0;0;
2024-07-30;3054584;control;1;1;0;0;0;0;0;0;
2024-07-24;65148308;control;1;1;1;1;139;1;0;0;
2024-07-27;156192;control;1;4;1;2;268;0;0;0;
2024-07-28;9059618;control;1;1;0;0;0;0;0;0;
2024-07-30;68406216;control;1;1;0;0;0;0;0;0;
2024-07-28;198388;control;1;1;0;0;0;0;0;0;
2024-07-26;81124349;control;1;2;1;1;199;1;1;199;
2024-07-29;69169662;control;1;1;0;0;0;0;0;0;
2024-07-28;934952059;control;1;1;0;0;0;0;0;0;
2024-07-28;542088525;control;1;1;1;1;119;1;0;0;
2024-07-26;32935494;control;1;1;0;0;0;0;0;0;
2024-07-26;6525892;control;1;2;0;0;0;0;0;0;
2024-07-24;21032901;control;1;1;0;0;0;0;0;0;
2024-07-24;54669;control;1;4;0;0;0;0;0;0;
2024-07-30;644820;control;1;1;0;0;0;0;0;0;
2024-07-25;12324265;control;1;1;0;0;0;0;0;0;
2024-07-25;9281;control;1;1;0;0;0;0;0;0;
2024-07-28;533115630;control;1;1;1;1;239;1;0;0;
2024-07-24;36414292;control;1;1;0;0;0;0;0;0;
2024-07-26;6400441;control;1;1;0;0;0;0;0;0;
2024-07-29;54840398;control;1;1;0;0;0;0;0;0;
2024-07-25;8491848;control;1;1;1;1;189;1;0;0;
2024-07-24;6884042;control;1;1;1;1;169;1;0;0;
2024-07-30;668950;control;1;1;0;0;0;0;0;0;
2024-07-26;846642;control;1;2;0;0;0;0;0;0;
2024-07-24;6606256;control;1;1;0;0;0;0;0;0;
2024-07-26;66230820;control;1;2;1;3;337;1;1;270;
2024-07-28;219196;control;1;1;0;0;0;0;0;0;
2024-07-27;694194;control;1;2;0;0;0;0;0;0;
2024-07-27;69558;control;1;2;0;0;0;0;0;0;
2024-07-26;66825198;control;1;2;0;0;0;0;0;0;
2024-07-29;1086498;control;1;1;0;0;0;0;0;0;
2024-07-27;16933394;control;1;1;0;0;0;0;0;0;
2024-07-29;953031886;control;1;2;1;1;139;1;1;139;
2024-07-28;8183244;control;1;1;0;0;0;0;0;0;
2024-07-28;6918809;control;1;2;0;0;0;0;0;0;
2024-07-27;823642828;control;1;1;0;0;0;0;0;0;
2024-07-25;6150954;control;1;1;0;0;0;0;0;0;
2024-07-27;419019;control;1;2;0;0;0;0;0;0;
2024-07-24;11582881;control;1;1;0;0;0;0;0;0;
2024-07-27;11691659;control;1;3;0;0;0;0;0;0;
2024-07-30;6163613;control;1;1;0;0;0;0;0;0;
2024-07-26;2104005;control;1;1;0;0;0;0;0;0;
2024-07-29;1220264;control;1;1;0;0;0;0;0;0;
2024-07-28;350128895;control;1;1;0;0;0;0;0;0;
2024-07-28;650840;control;1;1;0;0;0;0;0;0;
2024-07-27;3025;control;1;2;1;1;399;0;0;0;
2024-07-24;6310542;control;1;3;1;1;149;1;1;149;
2024-07-29;68926056;control;1;1;0;0;0;0;0;0;
2024-07-24;16505896;control;1;1;0;0;0;0;0;0;
2024-07-26;54245086;control;1;3;1;2;298;1;1;239;
2024-07-28;1091290;control;1;1;0;0;0;0;0;0;
2024-07-30;934861066;control;1;2;1;4;436;1;2;393;
2024-07-27;8155186;control;1;1;0;0;0;0;0;0;
2024-07-30;2995;control;1;2;1;2;318;0;0;0;
2024-07-30;8982280;control;1;2;1;3;517;1;1;414;
2024-07-25;25953298;control;1;1;0;0;0;0;0;0;
2024-07-28;24683;control;1;1;0;0;0;0;0;0;
2024-07-26;1093486;control;1;3;0;0;0;0;0;0;
2024-07-28;906544116;control;1;2;0;0;0;0;0;0;
2024-07-27;598349;control;1;2;0;0;0;0;0;0;
2024-07-28;22219215;control;1;4;0;0;0;0;0;0;
2024-07-29;6524589;control;1;1;0;0;0;0;0;0;
2024-07-26;9519839;control;1;3;1;2;154;1;1;139;
2024-07-26;5539969;control;1;3;0;0;0;0;0;0;
2024-07-25;548554548;control;1;1;0;0;0;0;0;0;
2024-07-29;889985816;control;1;3;1;2;178;1;1;178;
2024-07-26;1066939;control;1;2;0;0;0;0;0;0;
2024-07-27;942881460;control;1;3;0;0;0;0;0;0;
2024-07-25;681649595;control;1;1;1;2;313;1;1;251;
2024-07-24;1189;control;1;1;1;1;649;0;0;0;
2024-07-29;6460519;control;1;1;0;0;0;0;0;0;
2024-07-30;55616694;control;1;1;0;0;0;0;0;0;
2024-07-26;151832;control;1;3;0;0;0;0;0;0;
2024-07-27;896986612;control;1;3;0;0;0;0;0;0;
2024-07-27;1939461;control;1;2;0;0;0;0;0;0;
2024-07-27;324431;control;1;2;0;0;0;0;0;0;
2024-07-28;6564420;control;1;2;1;1;119;1;1;119;
2024-07-27;2382431;control;1;2;0;0;0;0;0;0;
2024-07-28;15022;control;1;11;0;0;0;0;0;0;
2024-07-27;158963;control;1;2;0;0;0;0;0;0;
2024-07-24;259626;control;1;1;1;6;694;0;0;0;
2024-07-29;545392530;control;1;1;0;0;0;0;0;0;
2024-07-26;665911;control;1;1;1;2;99;1;1;99;
2024-07-30;9641829;control;1;1;0;0;0;0;0;0;
2024-07-26;9014318;control;1;2;0;0;0;0;0;0;
2024-07-27;5342523;control;1;1;0;0;0;0;0;0;
2024-07-25;609295341;control;1;1;1;1;189;1;0;0;
2024-07-29;12208689;control;1;1;0;0;0;0;0;0;
2024-07-26;544598404;control;1;1;0;0;0;0;0;0;
2024-07-30;44304;control;1;1;0;0;0;0;0;0;
2024-07-24;69451182;control;1;1;0;0;0;0;0;0;
2024-07-30;1152333;control;1;8;0;0;0;0;0;0;
2024-07-28;69531953;control;1;1;0;0;0;0;0;0;
2024-07-27;94093456;control;1;2;0;0;0;0;0;0;
2024-07-27;859960834;control;1;2;1;2;169;1;1;153;
2024-07-30;6914250;control;1;2;1;4;476;1;2;476;
2024-07-27;9552981;control;1;1;1;1;159;1;0;0;
2024-07-29;2841349;control;1;1;0;0;0;0;0;0;
2024-07-29;5242220;control;1;1;1;5;511;1;2;409;
2024-07-29;12160;control;1;1;0;0;0;0;0;0;
2024-07-27;88262233;control;1;1;1;5;473;1;2;473;
2024-07-28;609019;control;1;1;0;0;0;0;0;0;
2024-07-27;3052125;control;1;2;0;0;0;0;0;0;
2024-07-25;38614;control;1;1;0;0;0;0;0;0;
2024-07-28;900498050;control;1;1;0;0;0;0;0;0;
2024-07-30;96509;control;1;1;0;0;0;0;0;0;
2024-07-30;3126093;control;1;1;0;0;0;0;0;0;
2024-07-28;12513883;control;1;1;0;0;0;0;0;0;
2024-07-26;402615;control;1;1;0;0;0;0;0;0;
2024-07-30;6245269;control;1;1;1;11;3289;1;0;0;
2024-07-27;812229230;control;1;4;0;0;0;0;0;0;
2024-07-28;5961259;control;1;1;0;0;0;0;0;0;
2024-07-27;402395;control;1;1;0;0;0;0;0;0;
2024-07-26;491540;control;1;1;0;0;0;0;0;0;
2024-07-29;691815;control;1;2;0;0;0;0;0;0;
2024-07-28;506425;control;1;2;0;0;0;0;0;0;
2024-07-25;6884615;control;1;1;1;1;140;1;0;0;
2024-07-30;68694014;control;1;6;0;0;0;0;0;0;
2024-07-26;68015384;control;1;1;0;0;0;0;0;0;
2024-07-27;539381;control;1;1;0;0;0;0;0;0;
2024-07-24;621346;control;1;1;0;0;0;0;0;0;
2024-07-29;64806899;control;1;1;1;1;149;1;0;0;
